season,seed,team
2016,W01,1314
2016,W02,1462
2016,W03,1452
2016,W04,1246
2016,W05,1231
2016,W06,1323
2016,W07,1458
2016,W08,1425
2016,W09,1344
2016,W10,1338
2016,W11a,1276
2016,W11b,1409
2016,W12,1151
2016,W13,1392
2016,W14,1372
2016,W15,1451
2016,W16a,1192
2016,W16b,1195
2016,X01,1438
2016,X02,1277
2016,X03,1428
2016,X04,1235
2016,X05,1345
2016,X06,1371
2016,X07,1173
2016,X08,1403
2016,X09,1139
2016,X10,1393
2016,X11,1211
2016,X12,1114
2016,X13,1233
2016,X14,1201
2016,X15,1292
2016,X16,1214
2016,Y01,1242
2016,Y02,1437
2016,Y03,1274
2016,Y04,1143
2016,Y05,1268
2016,Y06,1112
2016,Y07,1234
2016,Y08,1160
2016,Y09,1163
2016,Y10,1396
2016,Y11a,1435
2016,Y11b,1455
2016,Y12,1355
2016,Y13,1218
2016,Y14,1138
2016,Y15,1421
2016,Y16,1122
2016,Z01,1332
2016,Z02,1328
2016,Z03,1401
2016,Z04,1181
2016,Z05,1124
2016,Z06,1400
2016,Z07,1333
2016,Z08,1386
2016,Z09,1153
2016,Z10,1433
2016,Z11,1320
2016,Z12,1463
2016,Z13,1423
2016,Z14,1453
2016,Z15,1167
2016,Z16a,1221
2016,Z16b,1380
